document_ids,sentence_ids,sentences,event_type_ids,words,unique_words,entities,message_ids
387fe1dfe55067eb29e1fd4116d37af3,14,"According to author Neill Macaulay, ""he would attack only when the odds were heavily in his favor-when he clearly had the advantages of surprise, cover, and superior firepower.",23,"['accord', 'author', 'Neill', 'Macaulay', 'would', 'attack', 'odd', 'heavily', 'orwhen', 'clearly', 'advantage', 'surprise', 'cover', 'superior', 'firepower']","['odd', 'heavily', 'firepower', 'cover', 'orwhen', 'clearly', 'surprise', 'Neill', 'would', 'advantage', 'accord', 'superior', 'attack', 'Macaulay', 'author']","[('Neill Macaulay', 'PERSON')]",387fe1dfe55067eb29e1fd4116d37af3_14
387fe1dfe55067eb29e1fd4116d37af3,10,"Sandino had a tendency to greatly exaggerate numbers related to the battles during his rebellion, so this number of 60 is probably inaccurate.",37,"['sandino', 'tendency', 'greatly', 'exaggerate', 'number', 'relate', 'battle', 'rebellion', 'number', 'probably', 'inaccurate']","['probably', 'inaccurate', 'exaggerate', 'sandino', 'relate', 'battle', 'rebellion', 'tendency', 'greatly', 'number']","[('Sandino', 'ORG'), ('60', 'CARDINAL')]",387fe1dfe55067eb29e1fd4116d37af3_10
268c4763208c87ed7ebf55565c274d23,4,"British forces in India were considerably stronger than the French, with the British Indian Army supported by British Army detachments and a Royal Navy squadron under Rear-Admiral William Cornwallis.",42,"['british', 'force', 'India', 'considerably', 'strong', 'french', 'british', 'Indian', 'Army', 'suppoed', 'british', 'Army', 'detachment', 'Royal', 'Navy', 'squadron', 'RearAdmiral', 'William', 'Cornwallis']","['strong', 'Cornwallis', 'RearAdmiral', 'suppoed', 'William', 'India', 'french', 'force', 'british', 'detachment', 'considerably', 'Royal', 'Army', 'Indian', 'Navy', 'squadron']","[('British', 'NORP'), ('India', 'GPE'), ('French', 'NORP'), ('the British Indian Army', 'ORG'), ('British Army', 'ORG'), ('Royal Navy', 'ORG'), ('Rear-Admiral', 'PRODUCT'), ('William Cornwallis', 'PERSON')]",268c4763208c87ed7ebf55565c274d23_4
268c4763208c87ed7ebf55565c274d23,8,"British forces constructed trenches and batteries, often under heavy fire, over the following weeks.",44,"['british', 'force', 'construct', 'trench', 'battery', 'often', 'heavy', 'fire', 'follow', 'week']","['construct', 'often', 'heavy', 'fire', 'force', 'british', 'battery', 'trench', 'follow', 'week']","[('British', 'NORP'), ('the following weeks', 'DATE')]",268c4763208c87ed7ebf55565c274d23_8
268c4763208c87ed7ebf55565c274d23,0,"""For other sieges with this name, see Siege of Pondicherry (disambiguation)"" The Siege of Pondicherry was a colonial military operation in the early stages of the French Revolutionary Wars.",45,"['siege', 'name', 'see', 'Siege', 'Pondicherry', 'disambiguation', 'Siege', 'Pondicherry', 'colonial', 'military', 'operation', 'early', 'stage', 'French', 'Revolutionary', 'Wars']","['Siege', 'early', 'stage', 'military', 'French', 'operation', 'Wars', 'Pondicherry', 'name', 'Revolutionary', 'disambiguation', 'colonial', 'see', 'siege']","[('Siege', 'FAC'), ('Pondicherry', 'GPE'), ('The Siege of Pondicherry', 'WORK_OF_ART')]",268c4763208c87ed7ebf55565c274d23_0
268c4763208c87ed7ebf55565c274d23,3,French India was governed from Pondicherry (modern Puducherry) on the Coromandel Coast.,41,"['French', 'India', 'govern', 'Pondicherry', 'modern', 'Puducherry', 'Coromandel', 'Coast']","['French', 'India', 'Coast', 'Pondicherry', 'modern', 'Coromandel', 'Puducherry', 'govern']","[('French', 'NORP'), ('India', 'GPE'), ('Pondicherry', 'GPE'), ('the Coromandel Coast', 'LOC')]",268c4763208c87ed7ebf55565c274d23_3
3bec0b60c0940c5e46ee2cfc9504df92,5,"However, normally they occur at very low speed, less than 5 mph (8 km/h).",15,"['however', 'normally', 'occur', 'low', 'speed', 'less', 'mph', 'kmh']","['speed', 'less', 'kmh', 'normally', 'low', 'mph', 'however', 'occur']","[('less than 5 mph', 'QUANTITY'), ('8 km/h', 'QUANTITY')]",3bec0b60c0940c5e46ee2cfc9504df92_5
39c2db9e18cd4a02b9aa8c1a3c58aab7,8,They were apprehended and taken to separate hospitals.,1,"['apprehend', 'take', 'separate', 'hospital']","['apprehend', 'hospital', 'separate', 'take']",[],39c2db9e18cd4a02b9aa8c1a3c58aab7_8
c1ae08941a115c7d45e205724e5aa3be,18,"It had begun shortly before 16 October, if both the ""Chronica"" and the obituary of Burgos Cathedral are accurate.",31,"['begin', 'sholy', 'October', 'Chronica', 'obituary', 'Burgos', 'Cathedral', 'accurate']","['Burgos', 'accurate', 'October', 'obituary', 'begin', 'Chronica', 'sholy', 'Cathedral']","[('16 October', 'DATE'), ('Chronica', 'PRODUCT'), ('Burgos Cathedral', 'PERSON')]",c1ae08941a115c7d45e205724e5aa3be_18
c1ae08941a115c7d45e205724e5aa3be,36,This will was later confirmed at Sariñena on 4 September 1134.,18,"['later', 'confirm', 'Sariñena', 'September']","['September', 'later', 'confirm', 'Sariñena']","[('Sariñena', 'ORG'), ('4 September 1134', 'DATE')]",c1ae08941a115c7d45e205724e5aa3be_36
c1ae08941a115c7d45e205724e5aa3be,16,The army probably crossed via the pass at Somport in order to enter Gascony through the allied territory of Béarn.,77,"['army', 'probably', 'cross', 'pass', 'Sompo', 'order', 'enter', 'Gascony', 'ally', 'territory', 'Béarn']","['probably', 'Gascony', 'ally', 'pass', 'cross', 'Béarn', 'order', 'enter', 'Sompo', 'territory', 'army']","[('Somport', 'GPE'), ('Gascony', 'PERSON'), ('Béarn', 'PERSON')]",c1ae08941a115c7d45e205724e5aa3be_16
